ISCO 08 Code,ISEI value,Title DE/FR
2514,70.0,"DE: Anwendungsprogrammierer
FR: Programmeurs d’applications"
2519,70.0,"DE: Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt
FR: Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs"
2520,68.0,"DE: Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke
FR: Spécialistes des bases de données et des réseaux d’ordinateurs"
2521,68.0,"DE: Datenbankentwickler und -administratoren
FR: Spécialistes des bases de données"
2522,68.0,"DE: Systemadministratoren
FR: Administrateurs de systèmes"
2523,68.0,"DE: Akademische und vergleichbare Fachkräfte für Computernetzwerke
FR: Spécialistes des réseaux d’ordinateurs"
2529,68.0,"DE: Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt
FR: Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs"
2600,66.0,"DE: Juristen, Sozialwissenschaftler und Kulturberufe
FR: Spécialistes de la justice, des sciences sociales et de la culture"
2610,81.0,"DE: Juristen
FR: Juristes"
2611,85.0,"DE: Anwälte
FR: Avocats"
2612,88.0,"DE: Richter
FR: Magistrats"
2619,72.0,"DE: Juristen, anderweitig nicht genannt
FR: Juristes non classés ailleurs"
2620,55.0,"DE: Archiv-, Bibliotheks- und Museumswissenschaftler
FR: Archivistes, bibliothécaires, documentalistes et assimilés"
2621,55.0,"DE: Archiv- und Museumswissenschaftler
FR: Archivistes paléographes et conservateurs de musée"
2622,55.0,"DE: Bibliothekswissenschaftler und verwandte Informationswissenschaftler
FR: Bibliothécaires, documentalistes et professions assimilées"
2630,65.0,"DE: Sozialwissenschaftler, Geistliche und Seelsorger
FR: Spécialistes des sciences sociales et du clergé"
2631,72.0,"DE: Volkswirtschaftler
FR: Économistes"
2632,75.0,"DE: Soziologen, Anthropologen und verwandte Wissenschaftler
FR: Sociologues, anthropologues et assimilés"
2633,76.0,"DE: Philosophen, Historiker und Politologen
FR: Philosophes, historiens et spécialistes des sciences politiques"
2634,74.0,"DE: Psychologen
FR: Psychologues"
2635,59.0,"DE: Sozialarbeiter
FR: Spécialistes du travail social"
2636,53.0,"DE: Geistliche Seelsorger
FR: Ministres des cultes"
2640,65.0,"DE: Autoren, Journalisten und Linguisten
FR: Auteurs, journalistes et linguistes"
2641,65.0,"DE: Autoren und verwandte schriftstellerische Berufe
FR: Auteurs et autres écrivains"
2642,65.0,"DE: Journalisten
FR: Journalistes"
2643,68.0,"DE: Übersetzer, Dolmetscher und andere Linguisten
FR: Traducteurs, interprètes et linguistes"
2650,53.0,"DE: Bildende und darstellende Künstler
FR: Artistes créateurs et exécutants"
2651,51.0,"DE: Bildende Künstler
FR: Artistes plasticiens"
2652,50.0,"DE: Musiker, Sänger und Komponisten
FR: Compositeurs, musiciens et chanteurs"
2653,53.0,"DE: Tänzer und Choreografen
FR: Danseurs et chorégraphes"
2654,63.0,"DE: Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen
FR: Metteurs en scène de cinéma, de théâtre et d’autres spectacles"
2655,64.0,"DE: Schauspieler
FR: Acteurs"
2656,47.0,"DE: Sprecher im Rundfunk, Fernsehen und sonstigen Medien
FR: Annonceurs-présentateurs de radio, de télévision et autres médias"
2659,41.0,"DE: Bildende und darstellende Künstler, anderweitig nicht genannt
FR: Artistes créateurs et exécutants non classés ailleurs"
3000,51.0,"DE: Techniker und gleichrangige nichttechnische Berufe
FR: Professions intermédiaires"
3100,51.0,"DE: Ingenieurtechnische und vergleichbare Fachkräfte
FR: Professions intermédiaires des sciences et techniques"
3110,52.0,"DE: Material- und ingenieurtechnische Fachkräfte
FR: Techniciens des sciences physiques et techniques"
3111,49.0,"DE: Chemo- und Physikotechniker
FR: Techniciens des sciences chimiques et physiques"
3112,55.0,"DE: Bautechniker
FR: Techniciens du génie civil"
3113,51.0,"DE: Elektrotechniker
FR: Techniciens en électricité"
3114,53.0,"DE: Techniker im Bereich Elektronik
FR: Techniciens en électronique"
3115,52.0,"DE: Maschinenbautechniker
FR: Techniciens en construction mécanique"
3116,52.0,"DE: Chemiebetriebs- und Verfahrenstechniker
FR: Techniciens en chimie industrielle"
3117,59.0,"DE: Bergbau- und Hüttentechniker
FR: Techniciens des mines, techniciens métallurgistes"
3118,49.0,"DE: Technische Zeichner
FR: Dessinateurs industriels"
3119,50.0,"DE: Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt
FR: Techniciens des sciences physiques et techniques non classés ailleurs"
3120,49.0,"DE: Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau
FR: Superviseurs, mines, industries manufacturières et bâtiment"
3121,49.0,"DE: Produktionsleiter im Bergbau
FR: Superviseurs, mines"
3122,49.0,"DE: Produktionsleiter bei der Herstellung von Waren
FR: Superviseurs, industries manufacturières"
3123,49.0,"DE: Bauleiter
FR: Superviseurs, bâtiment"
3130,37.0,"DE: Techniker in der Prozesssteuerung
FR: Techniciens, contrôle de processus industriels"
3131,41.0,"DE: Steuerer von Energieerzeugungsanlagen
FR: Conducteurs d’installations de production d’énergie"
3132,38.0,"DE: Steuerer von Verbrennungs- und Wasserbehandlungsanlagen
FR: Conducteurs d’incinérateurs et d’installations de traitement de l’eau"
3133,37.0,"DE: Steuerer von chemischen Verfahrensanlagen
FR: Conducteurs d’installations de traitement chimique"
3134,37.0,"DE: Steuerer von Erdöl- und Erdgasraffinationsanlagen
FR: Conducteurs d’installations de raffinage de pétrole et de gaz naturel"
3135,37.0,"DE: Steuerer von Verfahren in der Metallerzeugung
FR: Contrôleurs des processus industriels, métallurgie"
3139,35.0,"DE: Techniker in der Prozesssteuerung, anderweitig nicht genannt
FR: Techniciens, contrôle de processus industriels non classés ailleurs"
3140,47.0,"DE: Biotechniker und verwandte technische Berufe
FR: Techniciens et travailleurs assimilés des sciences de la vie"
3141,47.0,"DE: Biotechniker (ohne medizinische Fachberufe)
FR: Techniciens des sciences de la vie (à l’exception de la médecine)"
3142,48.0,"DE: Agrartechniker
FR: Techniciens, agriculture et élevage"
3143,47.0,"DE: Forsttechniker
FR: Techniciens, sylviculture"
3150,59.0,"DE: Schiffsführer, Flugzeugführer und verwandte Berufe
FR: Contrôleurs et techniciens des moyens de transport maritime et aérien"
3151,55.0,"DE: Technische Schiffsoffiziere
FR: Officiers mécaniciens de navires"
3152,47.0,"DE: Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen
FR: Officiers de pont et pilotes"
3153,74.0,"DE: Flugzeugführer und verwandte Berufe
FR: Pilotes d’avions et assimilés"
3154,67.0,"DE: Flugverkehrslotsen
FR: Contrôleurs de la circulation aérienne"
3155,66.0,"DE: Flugsicherungstechniker
FR: Techniciens de la sécurité aérienne"
3200,46.0,"DE: Assistenzberufe im Gesundheitswesen
FR: Professions intermédiaires de la santé"
3210,45.0,"DE: Medizinische und pharmazeutische Fachberufe
FR: Techniciens de la médecine et de la pharmacie"
3211,51.0,"DE: Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte
FR: Techniciens d’appareils électromédicaux"
3212,45.0,"DE: Medizintechniker im Bereich Labor und Pathologie
FR: Techniciens de laboratoire médical"
3213,40.0,"DE: Pharmazeutisch-technische Assistenten
FR: Techniciens et assistants pharmaciens et préparateurs en pharmacie"
3214,45.0,"DE: Medizinische und zahnmedizinische Prothetiktechniker
FR: Techniciens de prothèses médicales et dentaires"
3220,48.0,"DE: Nicht akademische Krankenpflege- und Geburtshilfefachkräfte
FR: Personnel infirmier et sages femmes (niveau intermédiaire)"
3221,48.0,"DE: Nicht akademische Krankenpflegefachkräfte
FR: Personnel infirmier (niveau intermédiaire)"
3222,42.0,"DE: Nicht akademische Geburtshilfefachkräfte
FR: Sages-femmes (niveau intermédiaire)"
3230,42.0,"DE: Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin
FR: Praticiens des médecines traditionnelles et des médecines complémentaires"
3240,30.0,"DE: Veterinärmedizinische Fachkräfte und Assistenten
FR: Techniciens et assistants vétérinaires"
3250,45.0,"DE: Sonstige Assistenzberufe im Gesundheitswesen
FR: Autres professions intermédiaires de la santé"
3251,43.0,"DE: Zahnmedizinische Assistenten und Dentalhygieniker
FR: Assistants et thérapeutes en médecine dentaire"
3252,45.0,"DE: Fachkräfte im Bereich medizinische Dokumentation und Information
FR: Techniciens de dossiers médicaux"
3253,45.0,"DE: Fachkräfte in der öffentlichen Gesundheitsfürsorge
FR: Agents de santé communautaire"
3254,48.0,"DE: Augenoptiker
FR: Opticiens"
3255,40.0,"DE: Physiotherapeutische Techniker und Assistenten
FR: Techniciens et assistants en physiothérapie"
3256,46.0,"DE: Medizinische Assistenten
FR: Assistants médicaux"
3257,50.0,"DE: Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe
FR: Inspecteurs, salubrité de l’environnement et de la santé au travail, et assimilés"
3258,45.0,"DE: Rettungsdienstpersonal
FR: Ambulanciers"
3259,45.0,"DE: Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt
FR: Professions intermédiaires de la santé non classées ailleurs"
3300,53.0,"DE: Nicht akademische betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte
FR: Professions intermédiaires, finance et administration"
3310,51.0,"DE: Nicht akademische Fachkräfte im Bereich Finanzen und mathematische Verfahren
FR: Professions intermédiaires de la finance et des mathématiques"
3311,67.0,"DE: Wertpapierhändler, -makler und Finanzmakler
FR: Courtiers en valeurs et cambistes"
3312,51.0,"DE: Kreditsachbearbeiter
FR: Responsables des prêts"
3313,47.0,"DE: Nicht akademische Fachkräfte im Rechnungswesen
FR: Professions intermédiaires de la comptabilité"
3314,63.0,"DE: Nicht akademische statistische, mathematische und verwandte Fachkräfte
FR: Professions intermédiaires de la statistique, des mathématiques et assimilées"
3315,52.0,"DE: Schätzer und Schadensgutachter
FR: Commissaires-priseurs et autres experts en évaluation"
3320,55.0,"DE: Vertriebsagenten, Einkäufer und Handelsmakler
FR: Agents de vente et d’achat, courtiers"
3321,57.0,"DE: Versicherungsvertreter
FR: Agents d’assurances"
3322,55.0,"DE: Vertriebsagenten
FR: Représentants et techniciens commerciaux"
3323,52.0,"DE: Einkäufer
FR: Acheteurs"
3324,54.0,"DE: Handelsmakler
FR: Courtiers en marchandises"
3330,56.0,"DE: Fachkräfte für unternehmensbezogene Dienstleistungen
FR: Agents de services commerciaux"
3331,54.0,"DE: Fachkräfte für Abrechnungs- und Speditionsdienstleistungen
FR: Agents concessionnaires"
3332,56.0,"DE: Konferenz- und Veranstaltungsplaner
FR: Organisateurs de conférences et d’événements"
3333,55.0,"DE: Arbeits- und Personalvermittler
FR: Agents d’emploi et de recrutement de main-d’œuvre"
3334,57.0,"DE: Immobilienmakler und -verwalter
FR: Agents immobiliers"
3339,57.0,"DE: Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt
FR: Agents de services commerciaux non classés ailleurs"
3340,49.0,"DE: Sekretariatsfachkräfte
FR: Secrétaires d’administration et secrétaires spécialisés"
3341,57.0,"DE: Sekretariatsleiter
FR: Superviseurs, travail de bureau"
3342,47.0,"DE: Sekretariatsfachkräfte im juristischen Bereich
FR: Secrétaires, services juridiques"
3343,49.0,"DE: Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung
FR: Secrétaires d’administration et secrétaires exécutifs"
3344,49.0,"DE: Sekretariatsfachkräfte im Gesundheitswesen
FR: Secrétaires médicales/médicaux"
3350,55.0,"DE: Fachkräfte in der öffentlichen Verwaltung
FR: Professions intermédiaires de l’application de la loi et assimilées"
3351,63.0,"DE: Fachkräfte im Zolldienst und Grenzschutz
FR: Inspecteurs des douanes et des frontières"
3352,61.0,"DE: Fachkräfte in der Steuerverwaltung
FR: Contrôleurs des impôts"
3353,50.0,"DE: Fachkräfte in Sozialverwaltung und -versicherung
FR: Agents des services publics accordant des prestations sociales"
3354,52.0,"DE: Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen
FR: Agents des services publics accordant des permis et des licences"
3355,54.0,"DE: Polizeikommissare und Kriminalbeamte
FR: Inspecteurs et enquêteurs de police"
3359,55.0,"DE: Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt
FR: Professions intermédiaires de l’application de la loi et assimilées non classées ailleurs"
3400,45.0,"DE: Nicht akademische juristische, sozialpflegerische, kulturelle und verwandte Fachkräfte
FR: Professions intermédiaires des services juridiques, des services sociaux et assimilés"
